iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
KAZ,Kazakhstan,55.98,54.79,820,2023.0,59.0,41.0,30.0,25.0,65.375,34.625,59.0,41.0,97.0,,,6.375
KEN,Kenya,26.83,20.53,760,2024.0,89.0,11.0,11.0,15.0,,,88.0,12.0,93.0,,,
KGZ,Kyrgyzstan,26.19,21.2,895,,,,,,,,,,95.0,,,
KHM,Cambodia,91.35,87.63,1056,2022.0,97.0,3.0,3.0,4.0,,,,,88.0,,,
KIR,Kiribati,76.88,62.08,630,,,,,,,,,,97.0,,,
KNA,Saint Kitts and Nevis,70.88,56.63,654,,,,,,,,,,97.0,,,
KOR,South Korea,86.43,85.64,820,2023.0,59.0,41.0,28.0,23.0,87.933334,12.066665999999998,59.0,41.0,98.0,,,28.933334000000002
KWT,Kuwait,80.99,78.39,1064,,,,,,,,,,92.0,,,
LAO,Laos,78.21,69.36,513,2022.0,91.0,9.0,9.0,9.0,,,,,66.0,,,
LBN,Lebanon,49.92,43.98,678,2020.0,88.0,12.0,11.0,7.0,,,,,83.0,,,
LBR,Liberia,73.62,70.36,579,2023.0,89.0,11.0,9.0,20.0,,,89.0,11.0,71.0,,,
LBY,Libya,34.0,18.15,640,2024.0,73.0,27.0,27.0,29.0,,,81.0,19.0,73.0,,,
LCA,Saint Lucia,33.43,30.56,655,,,,,,,,,,92.0,,,
LIE,Liechtenstein,68.02,,899,,,,,,,,,,,,,
LKA,Sri Lanka,78.53,67.57,641,,,,,,,,,,99.0,,,
LSO,Lesotho,43.98,40.68,741,,,,,,,,,,92.0,,,
LTU,Lithuania,71.21,68.4,1327,2023.0,53.0,47.0,35.0,31.0,,,53.0,47.0,92.0,,,
LUX,Luxembourg,74.42,71.45,819,2022.0,84.799995,15.200005000000004,11.599999,7.2,,,,,99.0,,,
LVA,Latvia,72.74,70.57,585,2023.0,42.0,58.0,46.0,43.0,,,42.0,58.0,99.0,,,
MAC,Macao,97.77,92.39,795,,,,,,,,,,,,,
MAR,Morocco,66.8,62.8,837,2020.0,78.0,22.0,18.0,14.0,,,,,99.0,,,
MCO,Monaco,79.13,70.34,357,,,,,,,,,,99.0,,,
MDA,Moldova,33.9,32.97,1024,,,,,,,,,,91.0,,,
MDG,Madagascar,9.15,8.88,810,,,,,,,,,,69.0,,,
MDV,Maldives,76.23,73.53,843,,,,,,,,,,98.0,,,
MEX,Mexico,76.22,64.19,654,2024.0,86.0,14.0,9.0,7.0,85.8,14.200000000000003,86.0,14.0,82.0,,,-0.20000000000000284
MKD,North Macedonia,40.82,40.04,811,2023.0,70.0,30.0,26.0,20.0,68.974144,31.025856000000005,70.0,30.0,92.0,,,-1.0258560000000045
MLI,Mali,19.27,16.08,776,2024.0,91.0,9.0,8.0,7.0,,,81.11376,18.88624,77.0,,,
MLT,Malta,89.81,88.43,1158,2022.0,71.8,28.200000000000003,22.0,18.199999,,,,,98.0,,,
MMR,Myanmar,76.69,66.33,938,,,,,,,,,,90.0,,,
MNE,Montenegro,46.69,45.43,553,,,,,,,,,,87.0,,,
MNG,Mongolia,66.88,64.02,451,2022.0,71.0,29.0,27.0,15.999999,,,,,98.0,,,
